Nombre;A�o de Nacimiento;Edad;Pierna H�bil; Valor Mercado EUR ; SueldoAnualEUR ;Equipo;Posici�n
Erling Haaland;2000;24;Derecho; $200.000.000 ; $35.000.000 ;Manchester City;Delantero
Kylian Mbappé;1998;26;Derecho; $170.000.000 ; $70.000.000 ;Real Madrid;Delantero
Vinícius Júnior;2000;24;Izquierdo; $170.000.000 ; $20.000.000 ;Real Madrid;Extremo izquierdo
Lamine Yamal;2007;17;Derecho; $180.000.000 ; $4.530.000 ;Barcelona;Extremo derecho
Jude Bellingham;2003;21;Derecho; $180.000.000 ; $20.800.000 ;Real Madrid;Mediocentro ofensivo
Bukayo Saka;2001;23;Izquierdo; $150.000.000 ; $12.500.000 ;Arsenal;Extremo derecho
Florian Wirtz;2003;21;Izquierdo; $140.000.000 ; $7.500.000 ;Bayer Leverkusen;Centrocampista ofensivo
Jamal Musiala;2003;21;Derecho; $140.000.000 ; $8.000.000 ;Bayern Munich;Centrocampista ofensivo
Federico Valverde;1998;26;Derecho; $130.000.000 ; $9.360.000 ;Real Madrid;Centrocampista
Cole Palmer;2002;23;Izquierdo; $130.000.000 ; $6.000.000 ;Chelsea;Extremo derecho
Rodrygo Goes;2001;23;Derecho; $120.000.000 ; $10.400.000 ;Real Madrid;Extremo derecho
Phil Foden;2000;24;Izquierdo; $120.000.000 ; $12.000.000 ;Manchester City;Extremo izquierdo
Martin Ødegaard;1998;26;Izquierdo; $110.000.000 ; $11.700.000 ;Arsenal;Centrocampista ofensivo
Khvicha Kvaratskhelia;2001;23;Derecho; $110.000.000 ; $5.200.000 ;Napoli;Extremo izquierdo
Victor Osimhen;1998;26;Derecho; $100.000.000 ; $10.000.000 ;Napoli;Delantero
Alejandro Garnacho;2004;20;Derecho; $90.000.000 ; $4.800.000 ;Manchester United;Extremo izquierdo
Pedri;2002;22;Derecho; $100.000.000 ; $9.000.000 ;Barcelona;Centrocampista
Eduardo Camavinga;2002;22;Izquierdo; $95.000.000 ; $7.000.000 ;Real Madrid;Centrocampista defensivo
Aurélien Tchouaméni;2000;24;Derecho; $90.000.000 ; $8.000.000 ;Real Madrid;Centrocampista defensivo
Rafael Leão;1999;25;Derecho; $90.000.000 ; $6.500.000 ;AC Milan;Extremo izquierdo
Fernando Sánchez;1994;31;Derecho; $17.915.435 ; $18.135.390 ;Arsenal;Extremo derecho
Martín Sánchez;2003;22;Izquierdo; $74.906.098 ; $5.015.806 ;Liverpool;Delantero
Marcos Martínez;1998;27;Derecho; $53.037.299 ; $2.979.201 ;Borussia Dortmund;Lateral izquierdo
Emiliano Pérez;1995;30;Ambidiestro; $43.853.091 ; $1.397.732 ;Napoli;Lateral izquierdo
Javier Gómez;1989;36;Izquierdo; $45.642.727 ; $20.662.614 ;Chelsea;Centrocampista ofensivo
Carlos Ramírez;1989;36;Ambidiestro; $11.936.857 ; $9.235.019 ;Tottenham;Centrocampista ofensivo
Emiliano Vargas;1995;30;Derecho; $72.917.894 ; $17.560.487 ;Liverpool;Centrocampista ofensivo
Daniel Pérez;1994;31;Ambidiestro; $64.352.863 ; $2.366.199 ;Atletico Madrid;Extremo derecho
Fernando Rodríguez;2004;21;Derecho; $71.385.816 ; $18.219.662 ;Real Madrid;Delantero
Carlos Sánchez;2002;23;Ambidiestro; $48.784.116 ; $2.295.577 ;Arsenal;Extremo derecho
Diego Gómez;2005;20;Izquierdo; $32.430.396 ; $14.831.068 ;Atletico Madrid;Portero
Tomás Vargas;2002;23;Izquierdo; $41.734.339 ; $24.956.711 ;Liverpool;Delantero
Lucas Gómez;1996;29;Ambidiestro; $45.503.381 ; $19.374.937 ;Borussia Dortmund;Centrocampista ofensivo
Diego Torres;1988;37;Derecho; $20.223.409 ; $23.939.252 ;Atletico Madrid;Centrocampista
Mateo Rodríguez;2006;19;Derecho; $38.118.028 ; $14.482.489 ;Real Madrid;Portero
Luis Rodríguez;1999;26;Ambidiestro; $86.409.043 ; $4.475.236 ;Borussia Dortmund;Extremo izquierdo
Javier Martínez;2000;25;Derecho; $48.470.387 ; $4.912.234 ;Barcelona;Centrocampista ofensivo
Javier Gutiérrez;1996;29;Derecho; $24.874.161 ; $1.065.588 ;Borussia Dortmund;Portero
Diego Ramírez;1992;33;Derecho; $52.000.499 ; $4.581.061 ;PSG;Extremo izquierdo
Bruno Vargas;1998;27;Izquierdo; $93.026.084 ; $23.136.948 ;Borussia Dortmund;Delantero
Andrés Fernández;1997;28;Ambidiestro; $15.866.039 ; $22.043.746 ;Atletico Madrid;Centrocampista
Luis Torres;1999;26;Ambidiestro; $84.328.265 ; $1.216.766 ;Barcelona;Portero
Lucas Martínez;1995;30;Ambidiestro; $29.064.509 ; $14.884.769 ;Barcelona;Centrocampista
Iván Vargas;1991;34;Ambidiestro; $87.925.205 ; $23.942.243 ;PSG;Delantero
Pablo Gómez;2005;20;Derecho; $60.123.183 ; $17.967.918 ;Chelsea;Extremo derecho
Andrés Gutiérrez;2006;19;Derecho; $4.487.786 ; $4.788.948 ;Real Madrid;Portero
Iván Gutiérrez;1998;27;Ambidiestro; $28.171.515 ; $16.192.080 ;Bayern Munich;Delantero
Nicolás Pérez;1990;35;Derecho; $5.924.487 ; $19.257.989 ;Napoli;Lateral derecho
Pablo Rodríguez;2002;23;Derecho; $86.817.299 ; $24.003.208 ;Tottenham;Extremo derecho
Pablo Fernández;1995;30;Izquierdo; $55.196.495 ; $2.771.032 ;Atletico Madrid;Centrocampista ofensivo
David Ramírez;1990;35;Izquierdo; $66.331.098 ; $2.959.144 ;Arsenal;Portero
Lucas Sánchez;2004;21;Izquierdo; $57.982.197 ; $18.423.244 ;Bayern Munich;Centrocampista defensivo
Bruno Gómez;1999;26;Ambidiestro; $99.246.208 ; $10.811.963 ;Tottenham;Centrocampista defensivo
Nicolás Gutiérrez;2001;24;Izquierdo; $93.706.740 ; $5.906.342 ;Arsenal;Lateral izquierdo
David Torres;2003;22;Derecho; $99.701.940 ; $22.200.822 ;Chelsea;Centrocampista ofensivo
Tomás Sánchez;2002;23;Izquierdo; $13.632.473 ; $23.447.793 ;Atletico Madrid;Portero
